Name,ID
(S)-noradrenaline(1+) (UBERON),CHEBI:234420
cyclic peptide (UBERON),CHEBI:23449
diazole (UBERON),CHEBI:23677
drug (UBERON),CHEBI:23888
monoatomic cation (UBERON),CHEBI:23906
enzyme inhibitor (UBERON),CHEBI:23924
glucocorticoid (UBERON),CHEBI:24261
glucosamines (UBERON),CHEBI:24271
glutamine family amino acid (UBERON),CHEBI:24318
EC 6.3.1.2 (glutamate--ammonia ligase) inhibitor (UBERON),CHEBI:24319
glycogens (UBERON),CHEBI:24384
glycosphingolipid (UBERON),CHEBI:24402
chemical entity (UBERON),CHEBI:24431
biological role (UBERON),CHEBI:24432
group (UBERON),CHEBI:24433
organic heterocyclic compound (UBERON),CHEBI:24532
heterodetic cyclic peptide (UBERON),CHEBI:24533
hexosamine (UBERON),CHEBI:24586
hormone (UBERON),CHEBI:24621
hydrocarbon (UBERON),CHEBI:24632
proton (UBERON),CHEBI:24636
hydroxides (UBERON),CHEBI:24651
hydroxy-5beta-cholanic acid (UBERON),CHEBI:24663
imidazoles (UBERON),CHEBI:24780
indoles (UBERON),CHEBI:24828
oxoacid (UBERON),CHEBI:24833
inorganic anion (UBERON),CHEBI:24834
inorganic molecular entity (UBERON),CHEBI:24835
inorganic oxide (UBERON),CHEBI:24836
inorganic salt (UBERON),CHEBI:24839
salt (UBERON),CHEBI:24866
monoatomic ion (UBERON),CHEBI:24867
organic salt (UBERON),CHEBI:24868
ion (UBERON),CHEBI:24870
iron molecular entity (UBERON),CHEBI:24873
iron cation (UBERON),CHEBI:24875
isoprenoid (UBERON),CHEBI:24913
juvenile hormone (UBERON),CHEBI:24943
linear tetrapyrrole (UBERON),CHEBI:25046
metabolite (UBERON),CHEBI:25212
metal cation (UBERON),CHEBI:25213
mineralocorticoid (UBERON),CHEBI:25354
elemental molecule (UBERON),CHEBI:25362
molecule (UBERON),COB:0000013
monoamine molecular messenger (UBERON),CHEBI:25375
monocarboxylic acid (UBERON),CHEBI:25384
monoatomic monocation (UBERON),CHEBI:25414
neurotransmitter (UBERON),CHEBI:25512
neutral glycosphingolipid (UBERON),CHEBI:25513
nitrogen atom (UBERON),CHEBI:25555
nonmetal atom (UBERON),CHEBI:25585
organic anion (UBERON),CHEBI:25696
organic cation (UBERON),CHEBI:25697
organic ion (UBERON),CHEBI:25699
organic oxide (UBERON),CHEBI:25701
organic phosphate (UBERON),CHEBI:25703
organic sulfate (UBERON),CHEBI:25704
organophosphorus compound (UBERON),CHEBI:25710
oxide (UBERON),CHEBI:25741
oxygen atom (UBERON),CHEBI:25805
oxygen molecular entity (UBERON),CHEBI:25806
peptide hormone (UBERON),CHEBI:25905
phosphate (UBERON),CHEBI:26020
phosphoric acid (UBERON),CHEBI:26078
phosphoric acid derivative (UBERON),CHEBI:26079
phosphorus molecular entity (UBERON),CHEBI:26082
biological pigment (UBERON),CHEBI:26130
polar amino acid (UBERON),CHEBI:26167
porphyrins (UBERON),CHEBI:26214
potassium atom (UBERON),CHEBI:26216
potassium molecular entity (UBERON),CHEBI:26217
quaternary nitrogen compound (UBERON),CHEBI:26469
saturated fatty acid (UBERON),CHEBI:26607
sesquiterpenoid (UBERON),CHEBI:26658
short-chain fatty acid (UBERON),CHEBI:26666
sodium atom (UBERON),CHEBI:26708
sodium molecular entity (UBERON),CHEBI:26712
sodium salt (UBERON),CHEBI:26714
sphingolipid (UBERON),CHEBI:26739
steroid hormone (UBERON),CHEBI:26764
sulfuric ester (UBERON),CHEBI:26819
sulfates (UBERON),CHEBI:26820
sulfur atom (UBERON),CHEBI:26833
sulfur molecular entity (UBERON),CHEBI:26835
sulfuric acid (UBERON),CHEBI:26836
terpenoid (UBERON),CHEBI:26873
tetrapyrrole (UBERON),CHEBI:26932
tetraterpenoid (UBERON),CHEBI:26935
micronutrient (UBERON),CHEBI:27027
transition element atom (UBERON),CHEBI:27081
